Date,Google,Meta,Tesla,Ford,Walmart,Amazon,JP Morgan,Goldman Sachs
2012-05-21,0.022834793504635575,-0.10986138669186518,0.04390422701600816,0.018980913756805995,0.009770912207971438,0.019920478771339623,-0.029262457203220738,0.010681786646632219
2012-05-22,-0.021673670187348226,-0.0890390504844879,0.07055954940961784,-0.0009806777531459199,0.010945349957829587,-0.012745856547235035,0.04613975022714123,0.010568707221541906
2012-05-23,0.014414154986530203,0.032258064516129004,0.007142881471284168,0.021590002967814437,0.013337783799015401,0.009055853488415089,0.0073509900707340314,0.005228951768688539
2012-05-24,-0.009516686846389288,0.032187461853027344,-0.0238555389393571,0.017290959363963854,0.00758716451996877,-0.00938877622235701,-0.008464768610539464,-0.012035713434718764
2012-05-25,-0.020094013943568134,-0.033908536883954676,-0.01552185203041212,0.0009446954204133107,0.003688334026207496,-0.010918073051202626,-0.0138359006974621,-0.0016520013878064121
2012-05-29,0.004750380536893362,-0.09620807613614557,0.06306607417929144,0.022641185271314868,0.005665479728532041,0.008736909275607774,0.0038806608758101824,0.016833189783426628
2012-05-30,-0.010280370556370544,-0.022538128123828938,-0.04039129839120492,-0.01660506360881442,-0.003654078103898395,-0.0257043272291545,-0.01992238724294526,-0.033210791525889904
2012-05-31,-0.01252909549905945,0.05001773042567437,-0.029924316014625973,-0.009380818880537656,0.005806866468369032,0.01758833823885575,0.005764399764312644,0.011521204356698789
2012-06-01,-0.017009215641108022,-0.06351354877995741,-0.045762707891905396,-0.04166685576426887,-0.004102093968001652,-0.02202809807306816,-0.03680254833511731,-0.03197537404284134
2012-06-04,0.013327892705613964,-0.029581519305059034,-0.009591456433430956,-0.007905074478392837,0.006712525319691576,0.030496619279071657,-0.02912618629591246,-0.017702569399968837
2012-06-05,-0.014137749241096564,-0.03828991798897097,0.0010759621403624298,0.014940029641389518,-0.007425409862034549,-0.0063382605393519365,0.031935536079601645,0.013296666101400234
2012-06-06,0.017811659468317087,0.036335469509665375,0.046936598765348725,0.03729189247174536,0.0065646396392973205,0.020777602065021217,0.033760327283297364,0.029823199746321416
2012-06-07,-0.004030480329419883,-0.018649757924656618,-0.00992472434992997,-0.0018923651557305465,-0.0009099118915647519,0.005329919432836228,-0.007861788165452577,-0.010109521529808263
2012-06-08,0.0038393391721407433,0.030026641260482823,0.03975112824406479,0.010426639191681852,0.03567599889075912,-0.0014625563060117752,0.02651612170653772,0.005744457636819744
2012-06-11,-0.020587508892214723,-0.0033210387941333686,-0.03191488012570243,-0.019699997328984198,-0.010114124680435044,-0.009062595048785482,-0.025534501248164143,-0.01840492697867746
2012-06-12,-0.005980695988435647,0.01443907391127719,0.018544004235204747,0.004784599931896283,0.0028135395580066724,-0.00036952346907481726,0.0289456386767295,0.013362162158027102
2012-06-13,-0.007096035309535176,-0.004744494984543213,0.0037086708317304318,-0.01904740042257158,-0.009598504999715818,-0.0078089014680009505,0.015694646229506448,-0.014036655476735826
2012-06-14,-0.003635829610954544,0.0374037565325116,-0.012764563935461881,0.010679575644297001,0.008349647985909314,-0.0013039574575884894,0.01020402451001523,0.011863915592692287
2012-06-15,0.009766614054530498,0.06079884261899937,0.017693109118728234,-0.005763337178582129,0.0017746400598706025,0.018186100306705644,0.010966503449890919,0.019612041955879178
2012-06-18,0.011231015300626312,0.04665110322734689,0.06452694157899752,-0.0009665328633090553,0.00546108726039729,0.019738939492176977,-0.011703846435306642,-0.02122137863450113
